# EUC,SJIS
0xa7c7,0x8466
0xa7c8,0x8467
0xa7c9,0x8468
0xa7ca,0x8469
0xa7cb,0x846a
0xa7cc,0x846b
0xa7cd,0x846c
0xa7ce,0x846d
0xa7cf,0x846e
0xa7d0,0x846f
0xa7d1,0x8470
0xa7d2,0x8471
0xa7d3,0x8472
0xa7d4,0x8473
0xa7d5,0x8474
0xa7d6,0x8475
0xa7d7,0x8476
0xa7d8,0x8477
0xa7d9,0x8478
0xa7da,0x8479
0xa7db,0x847a
0xa7dc,0x847b
0xa7dd,0x847c
0xa7de,0x847d
0xa7df,0x847e
0xa7e0,0x8480
0xa7e1,0x8481
0xa7e2,0x8482
0xa7e3,0x8483
0xa7e4,0x8484
0xa7e5,0x8485
0xa7e6,0x8486
0xa7e7,0x8487
0xa7e8,0x8488
0xa7e9,0x8489
0xa7ea,0x848a
0xa7eb,0x848b
0xa7ec,0x848c
0xa7ed,0x848d
0xa7ee,0x848e
0xa7ef,0x848f
0xa7f0,0x8490
0xa7f1,0x8491
0xa7f2,0x8492
0xa7f3,0x8493
0xa7f4,0x8494
0xa7f5,0x8495
0xa7f6,0x8496
0xa7f7,0x8497
0xa7f8,0x8498
0xa7f9,0x8499
0xa7fa,0x849a
0xa7fb,0x849b
0xa7fc,0x849c
0xa7fd,0x849d
0xa7fe,0x849e
0xa8a1,0x849f
0xa8a2,0x84a0
0xa8a3,0x84a1
0xa8a4,0x84a2
0xa8a5,0x84a3
0xa8a6,0x84a4
0xa8a7,0x84a5
0xa8a8,0x84a6
0xa8a9,0x84a7
0xa8aa,0x84a8
0xa8ab,0x84a9
0xa8ac,0x84aa
0xa8ad,0x84ab
0xa8ae,0x84ac
0xa8af,0x84ad
0xa8b0,0x84ae
0xa8b1,0x84af
0xa8b2,0x84b0
0xa8b3,0x84b1
0xa8b4,0x84b2
0xa8b5,0x84b3
0xa8b6,0x84b4
0xa8b7,0x84b5
0xa8b8,0x84b6
0xa8b9,0x84b7
0xa8ba,0x84b8
0xa8bb,0x84b9
